"","routing_number","telegraphic_name","customer_name","state_or_territory_abbreviation","city","funds_transfer_status:
				y_-_eligible
				n_-_ineligible","funds_settlement-only_status:
				s_-_settlement-only","book-entry_securities_transfer_status:
				y_-_eligible
				n_-_ineligible","date_of_last_revision:_yyyymmdd,_or_blank"
"1","011000015","FRB-BOS           ","FEDERAL RESERVE BANK OF BOSTON      ","MA","BOSTON                   ","Y"," ","Y","20040910"
"2","011000028","STATE ST BOS      ","STATE STREET BOSTON                 ","MA","BOSTON                   ","Y"," ","Y","        "
"3","011000536","FHLB BOSTON       ","FEDERAL HOME LOAN BANK              ","MA","BOSTON                   ","Y"," ","Y","        "
"4","011001234","MELLON TRUST OF NE","THE BANK OF NEW YORK MELLON         ","MA","BOSTON                   ","Y"," ","N","20120815"
"5","011001276","ONEUNITED BANK    ","ONEUNITED BANK                      ","MA","BOSTON                   ","Y"," ","Y","20021231"
"6","011001881","FIDUCIARY TR BOS  ","FIDUCIARY TRUST COMPANY             ","MA","BOSTON                   ","Y"," ","Y","        "
"7","011002343","BOSTON PRIVATE BK ","THE BOSTON PRIVATE BK. & TR CO      ","MA","BOSTON                   ","Y"," ","Y","        "
"8","011002550","EASTERN BANK LYNN ","EASTERN BANK                        ","MA","BOSTON                   ","Y"," ","N","20110318"
"9","011002877","EW BK SMRINO      ","EAST WEST BANK                      ","MA","BOSTON                   ","Y"," ","N","20141107"
"10","011075150","SANTANDER BK      ","SANTANDER BANK, N.A.                ","PA","WYOMISSING               ","Y"," ","Y","20131029"
"11","011075202","SANTANDER BK      ","SANTANDER BANK, N.A.                ","MA","BOSTON                   ","Y"," ","N","20140414"
"12","011102133","EASTHAMPTON SVGS  ","EASTHAMPTON SAVINGS BANK            ","MA","EASTHAMPTON              ","Y"," ","N","20151014"
"13","011102353","FIRST SUFFIELD    ","FIRST NAT. BANK OF SUFFIELD         ","CT","SUFFIELD                 ","Y"," ","Y","        "
"14","011102502","UNION SAVINGS     ","UNION SAVINGS BANK                  ","CT","LITCHFIELD               ","Y"," ","N","20101223"
"15","011102612","SALISBURY LAKEVLLE","SALISBURY BANK & TRUST CO.          ","CT","LAKEVILLE                ","Y"," ","Y","        "
"16","011102638","NATLIRON SALISBURY","THE NATIONAL IRON BANK              ","CT","SALISBURY                ","Y"," ","Y","        "
"17","011102667","CANAAN NATL       ","SALISBURY BANK & TRUST CO.          ","CT","CANAAN                   ","Y"," ","N","20141107"
"18","011103093","TD BANK, NA       ","TD BANK, NA                         ","CT","GLASTONBURY              ","Y"," ","N","20141107"
"19","011104322","FST CITY N BRITAIN","WEBSTER BANK, N.A.                  ","CT","NEW BRITAIN              ","Y"," ","N","20100416"
"20","011104335","PRIME BANK ORANGE ","PRIME BANK                          ","CT","ORANGE                   ","Y"," ","Y","        "
"21","011104351","SIMSBURY B&T      ","SIMSBURY BANK AND TRUST CO          ","CT","SIMSBURY                 ","Y"," ","Y","19991223"
"22","011110617","BANKERS' NE GLAST ","BANKERS' BANK NORTHEAST             ","CT","GLASTONBURY              ","Y"," ","Y","20141107"
"23","011110659","LIBERTY MIDDLETOWN","LIBERTY BANK                        ","CT","MIDDLETOWN               ","Y"," ","N","20130624"
"24","011110675","NO AMER BK & TR   ","WEBSTER BANK, N.A.                  ","CT","WATERBURY                ","Y"," ","N","20141107"
"25","011110701","WEBSTER BANK CT   ","WEBSTER BANK, N.A.                  ","CT","WATERBURY                ","Y"," ","N","20100412"
"26","011110756","START COMM BANK   ","START COMMUNITY BANK                ","CT","NEW HAVEN                ","Y"," ","N","20101221"
"27","011175212","CT COMMUNITY BK NA","CONNECTICUT COMMUNITY BANK, N.A.    ","CT","WESTPORT                 ","Y"," ","N","20150813"
"28","011200475","BANGOR SVGS BK    ","BANGOR SAVINGS BANK                 ","ME","BIDDEFORD                ","Y"," ","N","20141107"
"29","011200585","DAMARISCOTTA BANK ","DAMARISCOTTA BANK & TRUST CO        ","ME","DAMARISCOTTA             ","Y"," ","Y","        "
"30","011200608","KEY BANK MAINE    ","KEYBANK NATIONAL ASSOCIATION        ","ME","PORTLAND                 ","Y"," ","N","20120507"
"31","011201306","CAMDEN NATIONAL BK","CAMDEN NATIONAL BANK                ","ME","BANGOR                   ","Y"," ","N","20060928"
"32","011201380","CAMDEN NATL ME    ","CAMDEN NATIONAL BANK                ","ME","ELLSWORTH                ","Y"," ","N","20100308"
"33","011201432","PEOPLES BANK      ","PEOPLE'S UNITED BANK, NA            ","CT","BRIDGEPORT               ","Y"," ","N","20150220"
"34","011201458","CAMDEN NATL ME    ","CAMDEN NATIONAL BANK                ","ME","CAMDEN                   ","Y"," ","Y","        "
"35","011201490","CAMDEN BK ME      ","CAMDEN NATIONAL BANK                ","ME","GARDINER                 ","Y"," ","N","20151016"
"36","011201500","PEOPLES BANK      ","PEOPLE'S UNITED BANK, NA            ","CT","BRIDGEPORT               ","Y"," ","N","20150220"
"37","011201526","PEOPLES BANK      ","PEOPLE'S UNITED BANK, NA            ","CT","BRIDGEPORT               ","Y"," ","N","20150220"
"38","011201759","BAR HARBOR BK TR  ","BAR HARBOR BANK & TRUST             ","ME","BAR HARBOR               ","Y"," ","Y","20050603"
"39","011201762","FIRST BAR HARBOR  ","THE FIRST, NATIONAL ASSOCIATION     ","ME","BAR HARBOR               ","Y"," ","N","20141107"
"40","011201830","FIRST DAMARISCOTTA","THE FIRST, NATIONAL ASSOCIATION     ","ME","DAMARISCOTTA             ","Y"," ","Y","20050517"
"41","011201995","LIVERMORE FALLS TR","ANDROSCOGGIN SAVINGS BANK           ","ME","LIVERMORE FALLS          ","Y"," ","N","        "
"42","011202392","KATAHDIN TR PATTEN","KATAHDIN TRUST COMPANY              ","ME","PATTEN                   ","Y"," ","Y","        "
"43","011202907","CAMDEN BK ME      ","CAMDEN NATIONAL BANK                ","ME","KENNEBUNK                ","Y"," ","N","20151016"
"44","011202910","TD BANK USA, N.A. ","TD BANK USA, NATIONAL ASSOCIATION   ","ME","PORTLAND                 ","Y"," ","N","20141107"
"45","011300142","COMMERCE WORCESTER","COMMERCE BANK & TRUST CO.           ","MA","WORCESTER                ","Y"," ","Y","        "
"46","011300595","CAMBRIDGE TR CO   ","CAMBRIDGE TRUST COMPANY             ","MA","CAMBRIDGE                ","Y"," ","Y","        "
"47","011301390","CENTURY SOMERVILLE","CENTURY BANK & TRUST COMPANY        ","MA","MEDFORD                  ","Y"," ","Y","        "
"48","011301798","EASTERN BANK LYNN ","EASTERN BANK                        ","MA","BOSTON                   ","Y"," ","Y","20020501"
"49","011301992","BANKFIVE          ","BANKFIVE                            ","MA","NEW BEDFORD              ","Y"," ","N","20141107"
"50","011302603","NORTHMARK N ANDOVR","THE NORTHMARK BK                    ","MA","NORTH ANDOVER            ","Y"," ","Y","20100726"
"51","011302616","PEOPLES BANK      ","PEOPLE'S UNITED BANK, NA            ","CT","BRIDGEPORT               ","Y"," ","N","20150220"
"52","011302742","ENTERPRISE LOWELL ","ENTERPRISE BANK & TR. CO.           ","MA","LOWELL                   ","Y"," ","Y","        "
"53","011302768","PEOPLES BANK      ","PEOPLE'S UNITED BANK, NA            ","CT","BRIDGEPORT               ","Y"," ","N","20150220"
"54","011303097","NORTHERN BK WOBURN","NORTHERN BANK AND TRUST CO          ","MA","WOBURN                   ","Y"," ","Y","        "
"55","011303327","MILFORD NATL      ","MILFORD NATIONAL BK. & TR.          ","MA","MILFORD                  ","Y"," ","Y","        "
"56","011304300","NATL MARBLEHEAD   ","NAT. GRAND BK. OF MARBLEHEAD        ","MA","MARBLEHEAD               ","Y"," ","Y","        "
"57","011304478","ROCKLAND TRUST    ","ROCKLAND TRUST COMPANY              ","MA","ROCKLAND                 ","Y"," ","Y","        "
"58","011304711","FIRST IPSWICH     ","FIRST IPSWICH BANK                  ","MA","IPSWICH                  ","Y"," ","Y","20120813"
"59","011305202","MILLBURY NATL     ","MILLBURY NATIONAL BANK              ","MA","MILLBURY                 ","Y"," ","Y","        "
"60","011305260","IFS NEWBURYPORT   ","INSTITUTION FOR SAVINGS             ","MA","NEWBURYPORT              ","Y"," ","N","20141024"
"61","011305684","EDGARTOWN NATL    ","EDGARTOWN NATIONAL BANK             ","MA","EDGARTOWN                ","Y"," ","Y","        "
"62","011307077","EASTERN BANK LYNN ","EASTERN BANK                        ","MA","NEWTON                   ","Y"," ","N","20141107"
"63","011307129","LEADER BK ARLINGTN","THE LEADER BANK                     ","MA","ARLINGTON                ","Y"," ","N","20130919"
"64","011375384","AVIDIA BANK       ","AVIDIA BANK                         ","MA","HUDSON                   ","Y"," ","N","20150630"
"65","011400071","TD BANK, NA       ","TD BANK, NA                         ","NH","MANCHESTER               ","Y"," ","N","20141107"
"66","011400149","ST MARYS MANCHESTR","ST MARYS BANK                       ","NH","MANCHESTER               ","Y"," ","Y","20100308"
"67","011401850","BK OF NEW ENGLAND ","BANK OF NEW ENGLAND                 ","NH","SALEM                    ","Y"," ","Y","20070329"
"68","011401928","MERRIMACK COUNTY  ","MERRIMACK COUNTY SAVINGS BK         ","NH","CONCORD                  ","Y"," ","N","20130919"
"69","011401960","PEOPLES BANK      ","PEOPLE'S UNITED BANK, NA            ","CT","BRIDGEPORT               ","Y"," ","N","20150220"
"70","011402024","EASTERN BANK LYNN ","EASTERN BANK                        ","MA","BOSTON                   ","Y"," ","N","20141209"
"71","011402053","HAMPSHIRE FIRST BK","NBT NATIONAL ASSOCIATION            ","NH","MANCHESTER               ","Y"," ","N","20121213"
"72","011402079","OPTIMA BANK       ","OPTIMA BANK & TRUST                 ","NH","PORTSMOUTH               ","Y"," ","N","20080129"
"73","011500120","CITIZENS BANK, NA ","CITIZENS BANK, NATIONAL ASSOCIATION ","RI","PROVIDENCE               ","Y"," ","Y","20150203"
"74","011500858","WASH TR WESTERLY  ","WASHINGTON TRUST COMPANY            ","RI","WESTERLY                 ","Y"," ","Y","        "
"75","011500913","CENT W WARWICK    ","CENTREVILLE SAVINGS BANK            ","RI","WEST WARWICK             ","Y"," ","Y","        "
"76","011501682","BK RI PROVIDENCE  ","BANK OF RHODE ISLAND                ","RI","PROVIDENCE               ","Y"," ","Y","20030515"
"77","011501705","FREEDOM NATL BANK ","FREEDOM NATIONAL BANK               ","RI","GREENVILLE               ","Y"," ","N","20130927"
"78","011501718","INDEPENDENCE BANK ","INDEPENDENCE BANK                   ","RI","EAST GREENWICH           ","Y"," ","N","20030401"
"79","011600020","MERCHANTS BURL VT ","MERCHANTS BANK                      ","VT","SOUTH BURLINGTON         ","Y"," ","Y","        "
"80","011600033","TD BANK, NA       ","TD BANK, NA                         ","VT","WILLISTON                ","Y"," ","N","20141107"
"81","011600062","PEOPLES BANK      ","PEOPLE'S UNITED BANK, NA            ","CT","BRIDGEPORT               ","Y"," ","N","20150220"
"82","011600567","PEOPLES TRUST CO  ","PEOPLES TRUST COMPANY               ","VT","SAINT ALBANS             ","N"," ","Y","20141107"
"83","011600774","FIRST BRANDON     ","LAKE SUNAPEE BANK FSB               ","VT","BRANDON                  ","Y"," ","N","20141107"
"84","011601029","COMMUNITY DERBY   ","COMMUNITY NATIONAL BANK             ","VT","NEWPORT                  ","Y"," ","Y","20130110"
"85","011601074","BERKSHIRE BANK    ","BERKSHIRE BANK                      ","MA","PITTSFIELD               ","Y"," ","N","20141107"
"86","011601087","NATL MIDDLEBURY   ","NATIONAL BANK OF MIDDLEBURY         ","VT","MIDDLEBURY               ","Y"," ","Y","        "
"87","011601100","UNION MORRISVILLE ","UNION BANK                          ","VT","MORRISVILLE              ","Y"," ","Y","        "
"88","011601142","FIRST ORWELL      ","FIRST NATIONAL BK. OF ORWELL        ","VT","ORWELL                   ","Y"," ","Y","        "
"89","011601236","LAKE SUNAPEE BANK ","LAKE SUNAPEE BANK FSB               ","VT","WOODSTOCK                ","Y"," ","N","20100330"
"90","011700425","NORTHWAY BANK     ","NORTHWAY BANK                       ","NH","BERLIN                   ","Y"," ","Y","20120328"
"91","011701107","PASSUMPSIC SVGS BK","PASSUMPSIC SAVINGS BANK             ","NH","LANCASTER                ","Y"," ","N","20080828"
"92","011701288","NORTHWAY BANK     ","NORTHWAY BANK                       ","NH","PLYMOUTH                 ","Y"," ","Y","20141107"
"93","011701314","GRANITE BANK      ","GRANITE BANK                        ","NH","COLEBROOK                ","Y"," ","Y","20150324"
"94","011701903","COMMUNITY PLYMOUTH","COMMUNITY GUARANTY SAVINGS BANK     ","NH","PLYMOUTH                 ","Y"," ","Y","20090917"
"95","011701987","LEDYARD HANOVER   ","LEDYARD NATIONAL BANK N.A           ","NH","HANOVER                  ","Y"," ","Y","        "
"96","011802488","PEOPLES BANK      ","PEOPLE'S UNITED BANK, NA            ","CT","BRIDGEPORT               ","Y"," ","N","20150220"
"97","011805388","ADAMS COMM BK     ","ADAMS COMMUNITY BANK                ","MA","ADAMS                    ","N"," ","Y","20151019"
"98","011807043","FIRST NIAGARA     ","FIRST NIAGARA BANK, NA              ","NY","BUFFALO                  ","Y"," ","N","20141107"
"99","011910697","BERKSHIRE BANK    ","BERKSHIRE BANK                      ","CT","HARTFORD                 ","Y"," ","N","20121218"
"100","011975221","TCF HARTFORD      ","TCF NATIONAL BANK                   ","CT","HARTFORD                 ","Y"," ","N","20120601"
"101","021000018","BK OF NYC         ","THE BANK OF NEW YORK MELLON         ","NY","NEW YORK                 ","Y"," ","Y","20080701"
"102","021000021","JPMCHASE          ","JPMORGAN CHASE BANK, NA             ","NY","NEW YORK                 ","Y"," ","Y","20041112"
"103","021000089","CITIBANK NYC      ","CITIBANK, N.A.                      ","NY","NEW YORK                 ","Y"," ","Y","20120622"
"104","021001033","DBTCO AMERICAS NYC","DEUTSCHE BANK TRUST CO. AMERICAS    ","NY","NEW YORK                 ","Y"," ","Y","20020909"
"105","021001088","HSBC USA          ","HSBC BANK USA, NA                   ","NY","BUFFALO                  ","Y"," ","Y","20120620"
"106","021001208","FRB NYC           ","FRB NEW YORK                        ","NY","NEW YORK                 ","Y"," ","Y","        "
"107","021001486","EURO AMER NYC     ","CITIBANK, N.A.                      ","NY","NEW YORK                 ","Y"," ","N","20141107"
"108","021004823","REPUBLIC NYC      ","HSBC BANK USA, NA                   ","NY","NEW YORK                 ","Y"," ","N","20141107"
"109","021030004","TREAS NYC         ","TREAS NYC/FUNDS TRANSFER DIVISION   ","DC","WASHINGTON               ","Y"," ","N","20150828"
"110","021031003","FHLBB WASHS       ","FHLB- GENERAL ACCOUNT               ","VA","RESTON                   ","Y"," ","Y","20140411"
"111","021033205","FHLMC WASHS       ","FED. HOME LOAN MORT. GENERAL ACCOUNT","VA","MCLEAN                   ","Y"," ","Y","20140411"
"112","021033409","FCA NYCS          ","FARM CREDIT BANK-GENERAL ACCT       ","NJ","JERSEY CITY              ","Y"," ","Y","20140411"
"113","021033506","FICO WASH         ","FINANCING CORP. - GEN ACCT.         ","VA","RESTON                   ","Y"," ","Y","        "
"114","021033519","FICO P&I          ","FINANCING CORP. P & I ACCOUNT       ","VA","RESTON                   ","Y"," ","Y","20060215"
"115","021038200","FARM CREDIT P&I   ","FEDERAL FARM-CON.SYSTEM BDS         ","NJ","JERSEY CITY              ","Y"," ","Y","20060215"
"116","021038857","REFCORP           ","RESOLUTION FUNDING CORP. GENERAL    ","VA","RESTON                   ","Y"," ","Y","        "
"117","021039500","FNMA NYC          ","FNMA - GENERAL ACCOUNT              ","DC","WASHINGTON               ","Y"," ","Y","        "
"118","021039513","FHLMC INVESTOR PI ","FEDERAL HOME LOAN MTG. INVESTOR PI  ","VA","MCLEAN                   ","Y"," ","Y","20080918"
"119","021039526","FREDDIE MAC MBS PI","FHL MORTG. PC ISSUE - P & I         ","VA","MCLEAN                   ","Y"," ","Y","20060215"
"120","021039539","FMAE DC MBS       ","FNMA BOOK ENTRY MORTGAGE ACCOUNT    ","DC","WASHINGTON               ","Y"," ","Y","        "
"121","021050165","FARMER MAC PI     ","FEDERAL AGRICULT'RL MORTG.CORP.(P&I)","DC","WASHINGTON               ","Y"," ","Y","        "
"122","021050178","FARMER MAC        ","FED.AGRICULTURAL MORTG. CORP.(GEN.) ","DC","WASHINGTON               ","Y"," ","Y","        "
"123","021051180","CHIPS             ","CHIPS ACCOUNT                       ","NY","NEW YORK                 ","Y"," ","N","20031021"
"124","021051274","CLEARING CORP     ","DEPOSITORY TRUST COMPANY            ","NY","NEW YORK                 ","Y"," ","N","20121213"
"125","021051287","FICC              ","DEPOSITORY TRUST COMPANY            ","NY","NEW YORK                 ","Y"," ","N","20121213"
"126","021051371","GNMA WASH         ","GNMA WASH                           ","NY","NEW YORK                 ","N"," ","Y","20020625"
"127","021052040","TREASURY BBO      ","U.S. TREAS BUYBACK OPERATION        ","NY","NEW YORK                 ","N"," ","Y","20141107"
"128","021052367","FEDWIRE TEST BK B ","FEDWIRE FRB TEST BANK B             ","NY","NEW YORK                 ","Y"," ","N","20141211"
"129","021052927","UBS BANK USA      ","UBS BANK USA                        ","NY","NEW YORK                 ","N"," ","Y","20110401"
"130","021052943","WELLS GNMA-P&I    ","WELLS FARGO GNMA-P&I                ","NY","NEW YORK                 ","Y"," ","Y","20151112"
"131","021053065","ITSGOV NYFRB      ","FRBNY GOVERNMENT WIRES              ","DC","WASHINGTON               ","Y"," ","N","20151015"
"132","021054035","DEF TRUST CA      ","DEFEASANCE TRUST COLLATERAL ACCOUNT ","NJ","EAST RUTHERFORD          ","N"," ","Y","20041223"
"133","021054064","DEF TR RETIREMENT ","DEFEASANCE TRUST RETIREMENT ACCT    ","NJ","EAST RUTHERFORD          ","N"," ","Y","20041223"
"134","021054527","DA FARM CREDIT    ","DISTRIBUTION ACCT-FARM CREDIT       ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060817"
"135","021054530","DA FCAC           ","DISTRIBUTION ACCT-FCAC NYC          ","NJ","EAST RUTHERFORD          ","N"," ","Y","20090915"
"136","021054543","DA FHLB WASHS     ","DISTRIBUTION ACCT-FHLBB WASH        ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20140411"
"137","021054556","DA FICO           ","DISTRIBUTION ACCT-FICO              ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"138","021054569","DA REFCO          ","DISTRIBUTION ACCT-REFCO             ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"139","021054572","DA FREDDIE MAC    ","DISTRIBUTION ACCT-FREDDIE MAC       ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"140","021054585","DA FANNIE MAE     ","DISTRIBUTION ACCT-FANNIE MAE        ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"141","021054598","DA FARMER MAC     ","DISTRIBUTION ACCT-FARMER MAC        ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"142","021054611","DA AFDB           ","DISTRIBUTION ACCT-AFDB              ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"143","021054624","DA ADB            ","DISTRIBUTION ACCT-ASIAN DEV BANK    ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"144","021054637","DA IADB           ","DISTRIBUTION ACCT-IADB              ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"145","021054640","DA IBRD           ","DISTRIBUTION ACCT-IBRD              ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"146","021054653","DA IFC            ","DISTRIBUTION ACCT-IFC               ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"147","021054666","DA GNMA WASH      ","DISTRIBUTION ACCT-GNMA WASH         ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"148","021054679","DA GNMA REMICS    ","DISTRIBUTION ACCT-GNMA REMICS TRUSTE","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"149","021054682","DA VETERAN AFFAIRS","DISTRIBUTION ACCT-VETERAN AFFAIRS   ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"150","021054695","DA TVA            ","DISTRIBUTION ACCT-TENNESSEE VAL AUTH","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"151","021054718","DA US TREASURY    ","DISTRIBUTION ACCT-US TREASURY       ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"152","021054721","DA SLM            ","DISTRIBUTION ACCT-FRBNY DEFEA TR SLM","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060630"
"153","021054734","FARM CREDIT DN P&I","FARM CREDIT BANK DN P&I             ","NJ","JERSEY CITY              ","Y"," ","Y","20060322"
"154","021054747","FARM CREDIT DB P&I","FARM CREDIT BANK DB P&I             ","NJ","JERSEY CITY              ","N"," ","Y","20150825"
"155","021054750","FNMA DN P&I       ","FNMA DN P&I                         ","DC","WASHINGTON               ","Y"," ","Y","20060323"
"156","021054763","FHLB WASHS DN P&I ","FHLBB DN P&I                        ","VA","RESTON                   ","Y"," ","Y","20140414"
"157","021054802","IBRD DN P&I       ","IBRD DN P&I ACCOUNT                 ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060710"
"158","021054941","FARMER MAC SEC P&I","FARMER MAC SEC P&I ACCOUNT          ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20060509"
"159","021055979","IFC DN P&I        ","IFC DN P&I                          ","DC","WASHINGTON               ","Y"," ","Y","20090624"
"160","021056318","FARMER MAC II     ","FARMER MAC II                       ","DC","WASHINGTON               ","Y"," ","N","20100820"
"161","021056321","NADB P&I          ","NADB P&I                            ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20100519"
"162","021056334","DA NADB           ","DA NADB                             ","NJ","EAST RUTHERFORD          ","Y"," ","Y","20100513"
"163","021059438","BUREAU OF OCEAN EN","BUREAU OF OCEAN ENERGY MANAGEMENT   ","CA","CAMARILLO                ","N"," ","Y","20140313"
"164","021080025","IBRD ACCT T       ","IBRD ACCOUNT T                      ","NY","NEW YORK                 ","Y"," ","Y","        "
"165","021080038","NADB              ","NORTH AMERICAN DEVELOPMENT BANK     ","NY","NEW YORK                 ","Y"," ","Y","20150106"
"166","021080054","NADB US CAIP      ","NORTH AMER DEV BK US - CAIP CAPITAL ","NY","NEW YORK                 ","Y"," ","N","19990716"
"167","021080070","ECBAC2            ","EUROPEAN CENTRAL BANK-ACCT 2        ","NY","NEW YORK                 ","Y"," ","Y","20030220"
"168","021080083","WHO ACCT ONE      ","WHO ACCT ONE/FOREIGN DEPARTMENT     ","NY","NEW YORK                 ","Y"," ","N","        "
"169","021080135","UNITED NATIONS    ","UNITED NATIONS                      ","NY","NEW YORK                 ","Y"," ","N","20150312"
"170","021080148","EUROPEAN CEN BANK ","EUROPEAN CENTRAL BANK ACCT ECB      ","NY","NEW YORK                 ","Y"," ","Y","        "
"171","021080151","ECB AUSTRIA       ","ECB ACCT OESTERREICHISCHE           ","NY","NEW YORK                 ","Y"," ","Y","        "
"172","021080164","ECB BELGIQUE      ","ECB AC BANQUE NATIONALE BELGIQUE    ","NY","NEW YORK                 ","Y"," ","Y","        "
"173","021080177","ECB FINLAND       ","ECB ACCT SUOMEN PANKKI              ","NY","NEW YORK                 ","Y"," ","Y","        "
"174","021080180","TURKEY SP FUNDS   ","TURKSF                              ","NY","NEW YORK                 ","Y"," ","Y","20030924"
"175","021080193","ECB FRANCE        ","ECB ACCT BANQUE DE FRANCE           ","NY","NEW YORK                 ","Y"," ","Y","        "
"176","021080232","ADBACR            ","ADBACR/FOREIGN DEPARTMENT           ","NY","NEW YORK                 ","Y"," ","N","20150312"
"177","021080245","ADB ACCT A        ","ADB ACCT A/FOREIGN DEPARTMENT       ","NY","NEW YORK                 ","Y"," ","Y","20140331"
"178","021080258","ADB ACCT N        ","ADB ACCT N/FOREIGN DEPARTMENT       ","NY","NEW YORK                 ","Y"," ","N","        "
"179","021080261","ECB GERMANY       ","ECB ACCT DEUTSCHE BUNDESBANK        ","NY","NEW YORK                 ","Y"," ","Y","        "
"180","021080274","ECB SPAIN         ","ECB ACCT BANCO DE ESPANA            ","NY","NEW YORK                 ","Y"," ","Y","        "
"181","021080287","ADB FUND ACCT     ","ADB FUND ACCT/FOREIGN DEPARTMENT    ","NY","NEW YORK                 ","Y"," ","N","20150312"
"182","021080300","AFDB              ","AFDB/FOREIGN DEPARTMENT             ","NY","NEW YORK                 ","Y"," ","Y","        "
"183","021080313","AFDB NTF          ","AFDB NTF/FOREIGN DEPARTMENT         ","NY","NEW YORK                 ","Y"," ","Y","        "
"184","021080326","ECB IRELAND       ","ECB ACCT CENTRAL BANK OF IRELAND    ","NY","NEW YORK                 ","Y"," ","Y","        "
"185","021080339","ECB ITALY         ","ECB ACCT BANCA D ITALIA             ","NY","NEW YORK                 ","Y"," ","Y","19990701"
"186","021080342","ECB LUXEMBOURG    ","ECB AC BANQUE CEN DU LUXEMBOURG     ","NY","NEW YORK                 ","Y"," ","Y","        "
"187","021080355","ECB NETHERLANDS   ","ECB ACCT DE NEDERLANDSCHE BK NV     ","NY","NEW YORK                 ","Y"," ","Y","        "
"188","021080368","ECB PORTUGAL      ","ECB ACCT BANCO DE PORTUGAL          ","NY","NEW YORK                 ","Y"," ","Y","        "
"189","021080371","AFDB-HIPC AFD BANK","AFRICAN DEVELOPMENT BK-HIPC AFD BANK","NY","NEW YORK                 ","Y"," ","Y","20141121"
"190","021080384","AFDB-HIPC AFD FUND","AFRICAN DEVELOPMENT BK-HIPC AFD FUND","NY","NEW YORK                 ","Y"," ","Y","20020326"
"191","021080410","NETH MOF FMS      ","GOV NETHERLANDS-MIN OF FINANCE  FMS ","NY","NEW YORK                 ","Y"," ","Y","20020613"
"192","021080533","URUGUAY SP FDS ACT","BANCO CENTRAL DEL URUGUAY-SP FDS ACT","NY","NEW YORK                 ","Y"," ","N","20020806"
"193","021080546","SLOVAKIA DES ACCT ","NATL BK OF SLOVAKIA -DES ACCT       ","NY","NEW YORK                 ","Y"," ","Y","20021018"
"194","021080562","IADB ACCOUNT      ","INTER-AMERICAN DEVELOPMENT BANK ACCT","NY","NEW YORK                 ","Y"," ","Y","20010720"
"195","021080591","ROMANIA RAMP      ","NAT'L BANK OF ROMANIA RAMP ACCT     ","NY","NEW YORK                 ","Y"," ","Y","20021211"
"196","021080601","SDNY INV DIST     ","SDNYD                               ","NY","NEW YORK                 ","N"," ","Y","20151109"
"197","021080630","AFDB-HIPC NTF     ","AFRICAN DEVEL B-HIPC NT FUND        ","NY","NEW YORK                 ","Y"," ","Y","20031124"
"198","021080669","MONTENEGRO        ","CENTRAL BANK OF MONTENEGRO          ","NY","NEW YORK                 ","Y"," ","Y","20040427"
"199","021080672","SLOVAKIA DES ACCTB","NATL BK OF SLOVAKIA DESIGN ACCT B   ","NY","NEW YORK                 ","Y"," ","Y","20040525"
"200","021080740","TIMOR-LESTE       ","BANCO CENTRAL DE TIMOR-LESTE        ","NY","NEW YORK                 ","Y"," ","Y","20130808"
"201","021080850","IRAQ CENTRAL BANK ","CENTRAL BANK OF IRAQ                ","NY","NEW YORK                 ","Y"," ","Y","20041220"
"202","021080863","BULGARIAN DES ACCT","BULGARIAN NATL BK DESIGNTD ACCT     ","NY","NEW YORK                 ","Y"," ","Y","20050516"
"203","021080892","DOM REP CONSOLID  ","BC REP DOMINICANA-CONSOLIDATION FUND","NY","NEW YORK                 ","Y"," ","Y","20050406"
"204","021080902","DOM REP CONTINGEN ","BC REP DOMINICANA-CONTINGENCY FUND  ","NY","NEW YORK                 ","Y"," ","Y","20050406"
"205","021080915","SAO TOME          ","BANCO CENTRAL DE SAO TOME A PRINCIPE","NY","NEW YORK                 ","Y"," ","Y","20050607"
"206","021080960","SAO TOME NATL OIL ","BC SAO TOME E PRINCIPE NATL OIL ACCT","NY","NEW YORK                 ","Y"," ","Y","20050608"
